id,algorithm,artifact_type,stage,profile,owner,detector_kind,normative_strength,constructibility,fault_family,source,source_locators,severity,baseline_status,mutation_family,expected_detector,mode_action,justification,detector_status
MLKEM-SPKI-AID-PARAMS-ABSENT,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,encoding/container,RFC9935,"RFC 9935 section 3, extracted-text lines 174-189: ML-KEM public-key AlgorithmIdentifier OIDs and absent parameters. | RFC 9935 section 4, extracted-text lines 221-240: ML-KEM public-key ASN.1 definitions with PARAMS ARE absent.",error,partial,aid-parameters-null | aid-parameters-present-non-null | aid-oid-family-swap,detector.algorithm_identifier.parameters_absent,"{""deployable"": ""block"", ""strict"": ""block""}",Malformed ML-KEM AlgorithmIdentifier breaks PKIX interoperability at issuance and consumption time.,implemented
MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,ML-KEM,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,RFC9935,"RFC 9935 section 5, extracted-text lines 277-280: keyEncipherment MUST be the only key usage for certificates with id-alg-ml-kem-*.",error,incomplete,keyusage-missing-key-encipherment | keyusage-extra-prohibited-bit | keyusage-empty,detector.key_usage.mlkem_key_encipherment_only,"{""deployable"": ""block"", ""strict"": ""block""}",ML-KEM certificate keyUsage is an issuance policy requirement and should block misprofiled certificates.,implemented
MLKEM-SPKI-PUBLIC-KEY-LENGTH,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,size/shape,FIPS203 | RFC9935,"FIPS 203 section 8 Table 3, extracted-text lines 2139-2144: ML-KEM encapsulation key sizes 800, 1184, and 1568 bytes. | RFC 9935 section 4, extracted-text lines 244-248: ML-KEM PublicKey OCTET STRING sizes 800, 1184, and 1568 bytes.",error,covered-for-encoded-key,spki-public-key-truncate | spki-public-key-extend | spki-oid-length-mismatch,detector.spki.payload_length,"{""deployable"": ""block"", ""strict"": ""block""}",Wrong ML-KEM public-key length is a structural defect that indicates malformed SPKI encoding.,implemented
MLKEM-SPKI-ENCODE-DECODE-IDENTITY,ML-KEM,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,field-domain,FIPS203,"FIPS 203 section 4, extracted-text lines 1286-1297: ByteDecode12 can produce values that cannot occur from ByteEncode12. | FIPS 203 section 7.2, extracted-text lines 2028-2040: encapsulation-key type and modulus checks using ByteEncode12(ByteDecode12(...)).",error,covered-by-external-lint-path,mlkem-unreduced-byteencode12-value,detector.mlkem.encode_decode_identity,"{""deployable"": ""warn"", ""strict"": ""block""}",Unreduced ML-KEM encoded keys are structurally suspicious and should at least surface operationally until local detection is implemented.,implemented
MLKEM-PRIVATE-SEED-LENGTH,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,size/shape,RFC9935,"RFC 9935 section 6, extracted-text lines 329-356: ML-KEM PrivateKey CHOICE seed [0] OCTET STRING size 64 for all parameter sets. | RFC 9935 section 6, extracted-text lines 365-399: seed format and ASN.1 tag parsing guidance.",error,gap,private-key-seed-length-short | private-key-seed-length-long | private-key-choice-tag-mismatch,detector.private_key.mlkem_seed_length,"{""deployable"": ""block"", ""strict"": ""block""}",ML-KEM seed-only private keys must match the RFC container size before import proceeds.,implemented
MLKEM-PRIVATE-EXPANDED-LENGTH,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,size/shape,RFC9935 | FIPS203,"RFC 9935 section 6, extracted-text lines 335-356: expandedKey sizes 1632, 2400, and 3168 bytes. | FIPS 203 section 8 Table 3, extracted-text lines 2139-2144: decapsulation key sizes 1632, 2400, and 3168 bytes.",error,gap,private-key-expanded-length-short | private-key-expanded-length-long | private-key-oid-expanded-length-mismatch,detector.private_key.mlkem_expanded_length,"{""deployable"": ""block"", ""strict"": ""block""}",ML-KEM expanded private keys must match parameter-set sizes before import proceeds.,implemented
MLKEM-PRIVATE-BOTH-CONSISTENCY,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,should,covered,inter-field-consistency,RFC9935,"RFC 9935 section 8, extracted-text lines 427-432: recipient should check seed/expandedKey consistency and MUST reject if the check fails.",error,gap,private-key-both-seed-expanded-mismatch,detector.private_key.mlkem_seed_expanded_consistency,"{""deployable"": ""block"", ""strict"": ""block""}",A both-form ML-KEM private key must be rejected on seed/expanded mismatch during import.,implemented
MLKEM-PRIVATE-EXPANDED-HASH-CHECK,ML-KEM,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,must,covered,import-validation,FIPS203 | RFC9935,"FIPS 203 section 7.3, extracted-text lines 2073-2088: decapsulation input hash check before Decaps. | RFC 9935 section 8, extracted-text lines 443-445: expandedKey requires FIPS 203 hash check before use.",error,gap,mlkem-expanded-key-hash-mismatch,detector.private_key.mlkem_hash_check,"{""deployable"": ""block"", ""strict"": ""block""}",Expanded ML-KEM private keys require the FIPS/RFC hash check before use.,implemented
MLDSA-SPKI-AID-PARAMS-ABSENT,ML-DSA,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,encoding/container,RFC9881,"RFC 9881 section 2, extracted-text lines 179-189: ML-DSA OIDs and absent parameters. | RFC 9881 section 4, extracted-text lines 336-350: ML-DSA public-key ASN.1 definitions.",error,partial,aid-parameters-null | aid-parameters-present-non-null | aid-oid-family-swap,detector.algorithm_identifier.parameters_absent,"{""deployable"": ""block"", ""strict"": ""block""}",Malformed ML-DSA AlgorithmIdentifier breaks PKIX interoperability at issuance and validation time.,implemented
MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,structural,must,covered,encoding/container,RFC9881,"RFC 9881 section 3, extracted-text lines 246-272: ML-DSA signature AlgorithmIdentifier definitions and absent parameters.",error,partial,signature-aid-parameters-null | signature-aid-parameters-present-non-null | signature-aid-oid-family-swap,detector.signature_algorithm.mldsa_parameters_absent,"{""deployable"": ""block"", ""strict"": ""block""}",ML-DSA certificate signatureAlgorithm encoding is a PKIX conformance requirement and should block issuance defects.,implemented
MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,RFC9881,"RFC 9881 section 5, extracted-text lines 381-396: if keyUsage is present for ML-DSA, at least one signing-related bit is required.",error,incomplete,keyusage-missing-signature-bit | keyusage-empty,detector.key_usage.mldsa_requires_signing_usage,"{""deployable"": ""block"", ""strict"": ""block""}",ML-DSA certificates need a permitted signing usage when keyUsage is present.,implemented
MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,RFC9881,"RFC 9881 section 5, extracted-text lines 404-413: ML-DSA keyUsage MUST NOT contain key-establishment or encryption bits.",error,covered-for-prohibited-bits,keyusage-key-encipherment | keyusage-data-encipherment | keyusage-key-agreement | keyusage-encipher-only | keyusage-decipher-only,detector.key_usage.mldsa_forbid_encipherment_agreement,"{""deployable"": ""block"", ""strict"": ""block""}",ML-DSA certificates must not advertise encipherment or agreement semantics they cannot safely support.,implemented
MLDSA-SPKI-PUBLIC-KEY-LENGTH,ML-DSA,spki,SPKI/public-key,pkix-core,ca-preissuance,structural,must,covered,size/shape,FIPS204 | RFC9881,"FIPS 204 section 4 Table 2, extracted-text lines 1105-1110: ML-DSA public key sizes 1312, 1952, and 2592 bytes. | RFC 9881 section 4, extracted-text lines 356-360: ML-DSA PublicKey OCTET STRING sizes 1312, 1952, and 2592 bytes. | RFC 9881 Appendix A, extracted-text lines 895-899: known appendix transcription conflict for ML-DSA-87-PublicKey as 2602.",error,gap-or-unverified,spki-public-key-truncate | spki-public-key-extend | spki-oid-length-mismatch | rfc9881-appendix-size-transcription-2602,detector.spki.payload_length,"{""deployable"": ""block"", ""strict"": ""block""}",Wrong ML-DSA public-key length is a structural defect that indicates malformed SPKI encoding.,implemented
MLDSA-PKIX-HASHML-FORBIDDEN,ML-DSA,certificate,certificate/profile,pkix-core,ca-preissuance,policy,must,covered,algorithm-policy,RFC9881,"RFC 9881 section 8.3, extracted-text lines 600-611: HashML-DSA MUST NOT be used in the listed PKIX certificate, CRL, OCSP, and related contexts. | FIPS 204 section 5.4, extracted-text lines 1218-1231: HashML-DSA is pre-hash ML-DSA and requires identifiers/application handling distinct from pure ML-DSA.",error,gap,hashml-dsa-signature-oid-in-pkix-cert | hashml-dsa-pkix-context,detector.algorithm_policy.hashml_dsa_forbidden,"{""deployable"": ""block"", ""strict"": ""block""}",HashML-DSA is prohibited in the covered PKIX certificate contexts and should always block.,implemented
MLDSA-PRIVATE-SEED-LENGTH,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,size/shape,RFC9881,"RFC 9881 section 6, extracted-text lines 459-496: ML-DSA PrivateKey CHOICE seed [0] OCTET STRING size 32 for all parameter sets. | RFC 9881 section 6, extracted-text lines 507-540: seed format and ASN.1 tag parsing guidance.",error,gap,private-key-seed-length-short | private-key-seed-length-long | private-key-choice-tag-mismatch,detector.private_key.mldsa_seed_length,"{""deployable"": ""block"", ""strict"": ""block""}",ML-DSA seed-only private keys must match the RFC container size before import proceeds.,implemented
MLDSA-PRIVATE-EXPANDED-LENGTH,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,structural,must,covered,size/shape,RFC9881 | FIPS204,"RFC 9881 section 6, extracted-text lines 473-496: expandedKey sizes 2560, 4032, and 4896 bytes. | FIPS 204 section 4 Table 2, extracted-text lines 1105-1110: ML-DSA private key sizes 2560, 4032, and 4896 bytes.",error,gap,private-key-expanded-length-short | private-key-expanded-length-long | private-key-oid-expanded-length-mismatch,detector.private_key.mldsa_expanded_length,"{""deployable"": ""block"", ""strict"": ""block""}",ML-DSA expanded private keys must match parameter-set sizes before import proceeds.,implemented
MLDSA-PRIVATE-BOTH-CONSISTENCY,ML-DSA,private-key-container,private-key-container/import,pkix-core,artifact-importer,import-crypto,should,covered,inter-field-consistency,RFC9881,"RFC 9881 section 8.2, extracted-text lines 586-591: recipient should check seed/expandedKey consistency and MUST reject if the check fails.",error,gap,private-key-both-seed-expanded-mismatch,detector.private_key.mldsa_seed_expanded_consistency,"{""deployable"": ""block"", ""strict"": ""block""}",A both-form ML-DSA private key must be rejected on seed/expanded mismatch during import.,implemented
