artifact_id,algorithm,parameter_set,validity,expected_detection,baseline_status,baseline_expected_detection_met,baseline_detected_requirements,baseline_fatal_lints,baseline_expected_blocked_by_fatal,baseline_first_expected_requirement,baseline_elapsed_ms,extended_status,extended_expected_detection_met,extended_detected_requirements,extended_first_expected_requirement,extended_elapsed_ms,comparison_class
openssl-mldsa65-ca-cert,ML-DSA,ML-DSA-65,valid,,pass,None,,,,None,715.607,pass,None,,None,0.274,same-pass
openssl-mldsa44-ee-cert,ML-DSA,ML-DSA-44,valid,,pass,None,,,,None,634.971,pass,None,,None,0.244,same-pass
openssl-mldsa65-ee-cert,ML-DSA,ML-DSA-65,valid,,pass,None,,,,None,639.675,pass,None,,None,0.228,same-pass
openssl-mldsa87-ee-cert,ML-DSA,ML-DSA-87,valid,,pass,None,,,,None,644.674,pass,None,,None,0.251,same-pass
openssl-mlkem512-ee-cert,ML-KEM,ML-KEM-512,valid,,fatal,None,,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,None,630.632,pass,None,,None,0.349,baseline-runtime-fragile
openssl-mlkem768-ee-cert,ML-KEM,ML-KEM-768,valid,,fatal,None,,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,None,659.843,pass,None,,None,0.36,baseline-runtime-fragile
openssl-mlkem1024-ee-cert,ML-KEM,ML-KEM-1024,valid,,fatal,None,,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,None,652.988,pass,None,,None,0.443,baseline-runtime-fragile
openssl-mut-mlkem768-keyusage-digital-signature-cert,ML-KEM,ML-KEM-768,invalid,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,error,True,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,653.183,error,True,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,0.384,extended-matches-detection-without-baseline-runtime-fragility
openssl-mut-mldsa65-keyusage-key-encipherment-cert,ML-DSA,ML-DSA-65,invalid,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT | MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,error,False,MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,,,MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,639.196,error,True,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT | MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,0.228,extended-recovers-baseline-miss
der-mut-mlkem768-cert-spki-aid-null,ML-KEM,ML-KEM-768,invalid,MLKEM-SPKI-AID-PARAMS-ABSENT,error,True,MLKEM-SPKI-AID-PARAMS-ABSENT,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,MLKEM-SPKI-AID-PARAMS-ABSENT,633.015,error,True,MLKEM-SPKI-AID-PARAMS-ABSENT,MLKEM-SPKI-AID-PARAMS-ABSENT,0.359,extended-matches-detection-without-baseline-runtime-fragility
der-mut-mlkem768-cert-spki-aid-octet-params,ML-KEM,ML-KEM-768,invalid,MLKEM-SPKI-AID-PARAMS-ABSENT,error,True,MLKEM-SPKI-AID-PARAMS-ABSENT,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,MLKEM-SPKI-AID-PARAMS-ABSENT,622.473,error,True,MLKEM-SPKI-AID-PARAMS-ABSENT,MLKEM-SPKI-AID-PARAMS-ABSENT,0.399,extended-matches-detection-without-baseline-runtime-fragility
der-mut-mlkem768-cert-spki-payload-truncated,ML-KEM,ML-KEM-768,invalid,MLKEM-SPKI-PUBLIC-KEY-LENGTH,fatal,False,,e_ml_kem_ek_encoding | e_ml_kem_ek_length,MLKEM-SPKI-PUBLIC-KEY-LENGTH,None,654.846,error,True,MLKEM-SPKI-PUBLIC-KEY-LENGTH,MLKEM-SPKI-PUBLIC-KEY-LENGTH,0.24,extended-recovers-baseline-miss-and-runtime-fragility
der-mut-mldsa44-cert-signature-aid-null,ML-DSA,ML-DSA-44,invalid,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,error,True,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,,,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,623.39,error,True,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,0.221,same-detection
der-mut-mldsa44-cert-signature-aid-octet-params,ML-DSA,ML-DSA-44,invalid,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,error,True,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,,,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,642.795,error,True,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,0.221,same-detection
der-mut-mldsa44-cert-signature-hashmldsa44,ML-DSA,HashML-DSA-44 in PKIX certificate context,invalid,MLDSA-PKIX-HASHML-FORBIDDEN,pass,False,,,,None,643.197,error,True,MLDSA-PKIX-HASHML-FORBIDDEN,MLDSA-PKIX-HASHML-FORBIDDEN,0.203,extended-recovers-baseline-miss
der-mut-mlkem768-cert-keyusage-empty,ML-KEM,ML-KEM-768,invalid,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,fatal,False,,e_ml_kem_ek_encoding | e_ml_kem_ek_length,,None,683.173,error,True,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,0.532,extended-recovers-baseline-miss-and-runtime-fragility
der-mut-mldsa65-cert-keyusage-empty,ML-DSA,ML-DSA-65,invalid,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,pass,False,,,,None,611.946,error,True,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,0.226,extended-recovers-baseline-miss
